property_type,sector_info,society,price,price_per_sqft,area,areaWithType,carpet_area,built_up_area,super_built_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,study room,store room,pooja room,others,servant room,furnishing_type,luxury_score
ind. house,sector 57,,4.75,28787.0,1650.0,Plot area 1600(148.64 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),1650.0,1600.0,,3.0,3.0,3 ,2.0,North-West,Moderately old,0,1,0,0,0,2,96
flat,sector 89,m3m soulitude,1.25,8784.0,1423.04,Carpet area: 1423 (132.2 sq.m.),1423.0,,,3.0,3.0,2 ,3.0,,New Property,1,0,0,0,0,1,49
flat,sector 27,dlf the icon,5.25,20388.0,2575.04,Super Built up area 2575(239.23 sq.m.)Built Up area: 2570 sq.ft. (238.76 sq.m.)Carpet area: 2560 sq.ft. (237.83 sq.m.),2560.0,2570.0,2575.0,4.0,4.0,3 ,9.0,North,old Property,0,0,1,1,1,1,135
flat,sector 67,ireo victory valley,4.5,14097.0,3192.17,Super Built up area 3192(296.55 sq.m.)Built Up area: 3160 sq.ft. (293.57 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),3000.0,3160.0,3192.0,4.0,4.0,3+ ,1.0,North,Relatively New,0,0,1,0,1,2,42
flat,sector 35,breez global hill view,0.35,6315.0,554.24,Carpet area: 554.16 (51.48 sq.m.),554.0,,,2.0,2.0,2 ,14.0,West,New Property,0,0,0,0,0,1,53
flat,sector 37c,ashiyara 2,0.45,4500.0,1000.0,Super Built up area 1000(92.9 sq.m.),,,1000.0,3.0,3.0,2 ,18.0,,Under construction,0,0,0,0,0,1,0
flat,sector 43,beverley park 1,8.44,16230.0,5200.25,Super Built up area 5200(483.1 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4900 sq.ft. (455.22 sq.m.),4900.0,5000.0,5200.0,4.0,5.0,3 ,9.0,North-East,Moderately old,0,0,0,0,1,0,117
flat,sector 103,indiabulls centrum park,1.32,7787.0,1695.13,Super Built up area 1695(157.47 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),1200.0,1300.0,1695.0,3.0,3.0,3+ ,6.0,North-East,Relatively New,1,0,0,0,0,1,49
flat,sector 112,earth copia,0.7,4673.0,1497.97,Built Up area: 1498 (139.17 sq.m.),,1498.0,,2.0,2.0,2 ,4.0,East,Relatively New,0,0,0,0,0,1,65
ind. house,sector 11,,0.95,7308.0,1300.0,Built Up area: 1300 (120.77 sq.m.),,1300.0,,5.0,3.0,0,1.0,,undefined,0,0,0,0,0,1,0
flat,sector 85,ss the leaf,1.25,7179.0,1741.19,Carpet area: 1741 (161.74 sq.m.),1741.0,,,2.0,2.0,2 ,16.0,North,Relatively New,0,0,0,0,0,2,49
flat,sector 35,trisara our homes 3,0.35,5564.0,629.04,Carpet area: 629 (58.44 sq.m.),629.0,,,2.0,2.0,1 ,2.0,North,New Property,0,0,0,0,0,1,74
flat,sector 92,raheja sampada,0.65,4744.0,1370.15,Super Built up area 1370(127.28 sq.m.),,,1370.0,3.0,2.0,3 ,6.0,North-East,Relatively New,0,0,0,0,0,1,49
flat,sector 70,tulip orange,1.0,10309.0,970.03,Carpet area: 970 (90.12 sq.m.),970.0,,,3.0,2.0,2 ,3.0,,Moderately old,0,0,0,0,0,1,58
flat,sector 67a,pyramid urban,0.7,11844.0,591.02,Carpet area: 591 (54.91 sq.m.),591.0,,,2.0,2.0,1 ,14.0,North,New Property,0,0,0,0,0,1,44
flat,sector 85,orris carnation residency,0.72,4881.0,1475.11,Super Built up area 1475(137.03 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),1250.0,1350.0,1475.0,3.0,3.0,2 ,9.0,West,Moderately old,0,0,0,1,0,1,49
ind. house,sector 70a,bptp visionnaire,5.4,20690.0,2610.0,Plot area 290(242.48 sq.m.),,2610.0,,4.0,5.0,3+ ,3.0,North,Relatively New,1,1,1,0,1,2,136
ind. house,sector 43,ansal,1.85,308333.0,60.0,Plot area 60(5.57 sq.m.),,60.0,,8.0,8.0,3+ ,5.0,North-West,Relatively New,0,0,0,0,0,1,53
ind. house,sector 56,,2.99,20635.0,1449.0,Plot area 161(134.62 sq.m.),,1449.0,,4.0,4.0,2 ,2.0,South,Moderately old,1,0,1,0,1,2,49
flat,sector 107,m3m woodshire,1.7,6141.0,2768.28,Super Built up area 2768(257.16 sq.m.),,,2768.0,4.0,5.0,3+ ,9.0,South,Relatively New,0,0,0,0,1,1,79
