property_type,sector_info,society,price,price_per_sqft,area,areaWithType,carpet_area,built_up_area,super_built_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,study room,store room,pooja room,others,servant room,furnishing_type,luxury_score
flat,sector 82,mapsko royale ville,1.12,6256.0,1790.28,Super Built up area 1790(166.3 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1400.0,,1790.0,3.0,3.0,2 ,12.0,North-East,Relatively New,0,0,1,0,0,2,49
flat,sector 103,indiabulls centrum park,2.2,7652.0,2875.07,Super Built up area 2875(267.1 sq.m.),,,2875.0,4.0,6.0,3+ ,4.0,North-East,Relatively New,0,0,0,0,1,2,108
flat,sector 37c,apex our homes,0.35,3783.0,925.19,Super Built up area 925(85.94 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),800.0,850.0,925.0,2.0,2.0,1 ,7.0,East,Relatively New,0,0,0,0,0,2,158
flat,sector 68,m3m sierra 68,1.13,9076.0,1245.04,Super Built up area 1245(115.66 sq.m.)Built Up area: 1130 sq.ft. (104.98 sq.m.)Carpet area: 930 sq.ft. (86.4 sq.m.),930.0,1130.0,1245.0,2.0,2.0,3 ,9.0,West,Relatively New,0,0,0,0,0,2,149
ind. house,sector 48,vipul tatvam villa,7.35,22812.0,3222.0,Plot area 358(299.33 sq.m.),,3222.0,,4.0,5.0,2 ,2.0,South,Moderately old,1,1,1,0,1,2,144
flat,sector 70a,bptp astaire gardens,1.7,8947.0,1900.08,Carpet area: 1900 (176.52 sq.m.),1900.0,,,4.0,3.0,3 ,1.0,North-East,Relatively New,0,0,0,0,0,2,49
flat,sector 86,ansal heights 86,0.74,5441.0,1360.04,Super Built up area 1360(126.35 sq.m.),,,1360.0,2.0,2.0,1 ,11.0,,Under construction,0,0,0,1,0,1,45
ind. house,sector 3,,0.9,80357.0,112.0,Built Up area: 112 (10.41 sq.m.),,112.0,,3.0,3.0,0,2.0,,undefined,0,0,0,0,0,1,0
flat,sector 86,dlf the skycourt,1.55,8035.0,1929.06,Super Built up area 1929(179.21 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),1300.0,1500.0,1929.0,3.0,3.0,3+ ,12.0,North-East,Relatively New,0,0,0,1,0,0,166
flat,sector 24,ambience lagoon,4.25,13281.0,3200.06,Super Built up area 3200(297.29 sq.m.)Carpet area: 3156 sq.ft. (293.2 sq.m.),3156.0,,3200.0,3.0,4.0,3+ ,3.0,East,old Property,0,1,0,0,1,2,131
ind. house,sector 7,rattan garden,1.3,13499.0,963.0,Built Up area: 963 (89.47 sq.m.),,963.0,,5.0,3.0,2 ,3.0,,old Property,0,0,0,0,0,1,0
flat,sector 92,sare crescent parc,0.8,6033.0,1326.04,Carpet area: 1326 (123.19 sq.m.),1326.0,,,3.0,2.0,2 ,3.0,North-East,Relatively New,0,0,0,0,0,1,15
flat,sector 10a,maxworth city residences,0.9,7083.0,1270.65,Super Built up area 1200(111.48 sq.m.),,,1200.0,2.0,2.0,3 ,9.0,East,New Property,0,0,0,1,0,1,52
flat,sector 48,parsvnath green ville,1.5,8787.0,1707.07,Super Built up area 1707(158.59 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1400.0,1600.0,1707.0,3.0,3.0,3 ,1.0,North,old Property,0,0,0,0,0,2,128
flat,sector 95,rof ananda,0.31,5644.0,549.26,Carpet area: 549.16 (51.02 sq.m.),549.0,,,2.0,2.0,1 ,5.0,North,Relatively New,0,0,1,0,0,2,74
flat,sector 82,mapsko casa bella,0.86,8120.0,1056.03,Super Built up area 1430(132.85 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),1056.0,,1430.0,3.0,3.0,3 ,5.0,South,Moderately old,1,0,0,0,0,2,120
ind. house,sector 109,international city by sobha phase 2,8.48,23556.0,3600.0,Plot area 400(334.45 sq.m.),,3600.0,,4.0,6.0,3+ ,3.0,North-East,New Property,1,1,1,0,1,1,153
ind. house,sector 63,dlf the arbour,8.5,21519.0,3950.0,Built Up area: 3950 (366.97 sq.m.),,3950.0,,4.0,4.0,3+ ,27.0,,undefined,0,0,0,0,0,1,61
ind. house,sector 70a,bptp astaire gardens,1.04,7172.0,1450.0,Carpet area: 1450 (134.71 sq.m.),1450.0,,,3.0,3.0,3+ ,2.0,North-East,Relatively New,0,0,0,1,0,2,145
flat,sector 61,smart world orchard,2.1,13750.0,1527.27,Super Built up area 1549(143.91 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),1500.0,,1549.0,3.0,2.0,3 ,3.0,South,Under construction,0,0,0,0,0,1,146
flat,sector 79,mapsko mount ville,1.25,7716.0,1620.01,Super Built up area 1620(150.5 sq.m.)Carpet area: 862.18 sq.ft. (80.1 sq.m.),862.0,,1620.0,3.0,3.0,2 ,1.0,South-West,Relatively New,1,0,1,0,0,2,166
flat,sector 49,orchid petals,4.79,11628.0,4119.37,Super Built up area 4115(382.3 sq.m.),,,4115.0,5.0,5.0,3+ ,14.0,South,Relatively New,1,0,1,0,1,1,49
ind. house,sector 3,,1.3,8701.0,1494.0,Plot area 166(138.8 sq.m.),,1494.0,,4.0,4.0,2 ,1.0,East,old Property,0,0,0,0,0,1,0
flat,sector 104,ats triumph,1.85,8078.0,2290.17,Super Built up area 2290(212.75 sq.m.),,,2290.0,3.0,4.0,3+ ,14.0,East,Relatively New,1,1,1,0,1,1,117
flat,sector 84,antriksh heights,0.9,6206.0,1450.21,Super Built up area 1725(160.26 sq.m.)Built Up area: 1525 sq.ft. (141.68 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),1450.0,1525.0,1725.0,3.0,3.0,3+ ,12.0,North-East,Relatively New,0,0,0,0,0,1,166
flat,sector 35,eldeco accolade,0.72,5607.0,1275.19,Super Built up area 1275(118.45 sq.m.),,,1275.0,2.0,2.0,3 ,10.0,North-East,Relatively New,0,0,0,0,0,1,159
flat,sector 37d,signature global the millennia 3,0.5,7142.0,700.08,Carpet area: 700 (65.03 sq.m.),700.0,,,3.0,3.0,2 ,2.0,,Under construction,0,0,0,0,0,1,31
flat,sector 113,la vida by tata housing,1.5,11755.0,1276.05,Super Built up area 1276(118.54 sq.m.),,,1276.0,2.0,2.0,2 ,13.0,,New Property,0,0,0,0,0,1,60
flat,sector 65,m3m heights,2.86,14000.0,2042.86,Carpet area: 2040 (189.52 sq.m.),2040.0,,,3.0,3.0,3 ,45.0,East,Under construction,0,0,0,0,1,1,48
flat,sector 3,apna enclave,0.5,7692.0,650.03,Carpet area: 650 (60.39 sq.m.),650.0,,,2.0,2.0,1 ,1.0,West,old Property,0,0,0,0,0,2,37
flat,sector 48,central park 2 bellevue,5.0,11627.0,4300.34,Carpet area: 4300 (399.48 sq.m.),4300.0,,,3.0,4.0,3 ,14.0,North-East,Moderately old,0,0,0,0,0,1,82
flat,sector 102,shapoorji pallonji joyville gurugram,1.95,10529.0,1852.03,Super Built up area 1852(172.06 sq.m.),,,1852.0,3.0,3.0,3 ,10.0,North-East,Relatively New,0,0,0,0,0,1,59
ind. house,sector 104,,0.71,10142.0,700.0,Plot area 700(65.03 sq.m.),,700.0,,4.0,2.0,1 ,2.0,,New Property,0,0,0,0,0,1,0
ind. house,sector 23,,5.5,21825.0,2520.0,Plot area 280(234.12 sq.m.),,2520.0,,8.0,8.0,2 ,3.0,East,Moderately old,1,0,1,0,1,2,76
flat,sector 84,antriksh heights,1.05,5011.0,2095.39,Super Built up area 2095(194.63 sq.m.),,,2095.0,4.0,4.0,3+ ,3.0,North,New Property,1,0,0,0,0,1,66
ind. house,sector 25,,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),,1800.0,,4.0,4.0,3+ ,2.0,North-East,Moderately old,1,1,1,0,1,1,61
flat,sector 67a,ireo the corridors,1.3,10031.0,1295.98,Built Up area: 1296 (120.4 sq.m.),,1296.0,,2.0,2.0,2 ,1.0,,undefined,0,0,0,0,0,1,55
flat,sector 35,mvn athens,0.26,5397.0,481.75,Carpet area: 481.74 (44.76 sq.m.),482.0,,,2.0,2.0,1 ,2.0,,Relatively New,0,0,0,0,0,1,37
ind. house,sector 6,,1.65,75000.0,220.0,Built Up area: 220 (20.44 sq.m.),,220.0,,9.0,9.0,0,1.0,,New Property,0,0,0,0,0,1,0
flat,sector 69,tulip violet,1.36,8841.0,1538.29,Super Built up area 1538(142.88 sq.m.),,,1538.0,3.0,3.0,1 ,12.0,North-West,Relatively New,0,0,1,0,0,1,86
flat,sector 70a,capital residences 360,1.69,8552.0,1976.15,Super Built up area 1976(183.58 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),1650.0,1900.0,1976.0,3.0,3.0,3+ ,8.0,North-East,New Property,0,0,0,0,1,1,165
flat,sector 70,krrish florence estate,1.25,6703.0,1864.84,Super Built up area 1865(173.26 sq.m.),,,1865.0,3.0,3.0,3 ,18.0,North-East,Under construction,0,0,0,0,0,1,51
flat,sector 79,supertech araville,0.72,5522.0,1294.82,Built Up area: 1295 (120.31 sq.m.),,1295.0,,2.0,2.0,0 ,9.0,,Under construction,0,0,0,0,0,1,0
flat,sector 104,ats triumph,2.3,10000.0,2300.0,Carpet area: 2290 (212.75 sq.m.),2290.0,,,3.0,4.0,3+ ,15.0,North-East,New Property,0,0,0,0,1,1,117
flat,sector 92,sare crescent parc,0.87,4971.0,1750.15,Super Built up area 1750(162.58 sq.m.),,,1750.0,4.0,4.0,2 ,2.0,East,Moderately old,0,1,0,0,0,0,115
flat,sector 79,supertech araville,0.8,5266.0,1519.18,Carpet area: 1519 (141.12 sq.m.),1519.0,,,2.0,2.0,2 ,12.0,,New Property,1,0,0,0,0,1,49
flat,sector 85,ss the leaf,1.31,7987.0,1640.17,Carpet area: 1640 (152.36 sq.m.),1640.0,,,2.0,2.0,2 ,5.0,West,Relatively New,0,0,0,0,1,1,89
flat,sector 86,microtek greenburg,1.23,8310.0,1480.14,Super Built up area 1480(137.5 sq.m.),,,1480.0,2.0,2.0,3 ,13.0,South,Relatively New,1,0,0,0,0,1,6
flat,sector 83,mapsko paradise,0.75,5597.0,1340.0,Super Built up area 1340(124.49 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),1000.0,,1340.0,3.0,3.0,3 ,10.0,North,New Property,0,0,0,1,0,2,49
flat,sector 6,divya apartments,0.6,7594.0,790.1,Built Up area: 790 (73.39 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),750.0,790.0,,2.0,2.0,0 ,2.0,South-West,Relatively New,0,0,0,0,0,2,15
flat,sector 77,emaar mgf palm hills,1.55,7948.0,1950.18,Super Built up area 1950(181.16 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1702 sq.ft. (158.12 sq.m.),1702.0,1800.0,1950.0,4.0,4.0,3+ ,2.0,North-East,Relatively New,1,0,0,0,1,0,49
flat,sector 79,supertech araville,0.83,5424.0,1530.24,Carpet area: 1530 (142.14 sq.m.),1530.0,,,2.0,2.0,3 ,5.0,North-East,New Property,1,0,0,0,0,0,49
flat,sector 49,satya element one,0.8,11111.0,720.01,Built Up area: 720 (66.89 sq.m.),,720.0,,1.0,1.0,1 ,1.0,,undefined,0,0,0,0,0,1,0
flat,sector 110,indiabulls enigma,3.3,9850.0,3350.25,Super Built up area 3350(311.23 sq.m.),,,3350.0,4.0,5.0,3 ,7.0,East,Relatively New,0,0,0,0,1,1,101
flat,sector 69,surendra avenue 69,0.75,6818.0,1100.03,Built Up area: 1100 (102.19 sq.m.),,1100.0,,2.0,2.0,2 ,4.0,,Moderately old,0,0,0,0,0,1,0
ind. house,sector 50,,7.0,23333.0,3000.0,Plot area 2400(222.97 sq.m.)Built Up area: 3400 sq.ft. (315.87 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),3000.0,2400.0,,4.0,4.0,2 ,3.0,North-East,old Property,0,0,0,0,1,1,118
flat,sector 92,raheja navodaya,1.1,4681.0,2349.93,Built Up area: 2350 (218.32 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),1850.0,2350.0,,3.0,2.0,3 ,1.0,East,undefined,0,0,0,0,0,1,0
flat,sector 65,emaar mgf emerald estate,1.7,21013.0,809.02,Super Built up area 1395(129.6 sq.m.)Carpet area: 809 sq.ft. (75.16 sq.m.),809.0,,1395.0,3.0,3.0,3 ,7.0,South-East,Relatively New,1,0,0,0,0,2,116
flat,sector 112,experion windchants,5.6,11551.0,4848.07,Super Built up area 4848(450.39 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.),,3655.0,4848.0,4.0,6.0,3+ ,8.0,North-East,Relatively New,0,0,0,0,1,2,168
flat,sector 54,shree arihant apartment,1.55,7380.0,2100.27,Super Built up area 2100(195.1 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),1900.0,2000.0,2100.0,3.0,3.0,3+ ,3.0,North-East,Moderately old,0,0,1,1,0,2,125
flat,sector 92,sare crescent parc,0.71,4933.0,1436.25,Carpet area: 1436 (133.41 sq.m.),1436.0,,,3.0,3.0,2 ,6.0,,Relatively New,0,0,0,0,0,1,37
flat,sector 61,smart world orchard,2.57,15766.0,1630.09,Carpet area: 1630 (151.43 sq.m.),1630.0,,,3.0,3.0,2 ,3.0,North-East,Under construction,1,0,0,0,0,1,0
flat,sector 60,ireo skyon,3.6,12815.0,2809.21,Super Built up area 2809(260.96 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),2400.0,,2809.0,4.0,5.0,3 ,24.0,North-East,Relatively New,0,0,0,0,1,2,49
flat,sector 74,m3m skywalk,1.6,11379.0,1406.1,Super Built up area 1406(130.62 sq.m.),,,1406.0,2.0,2.0,2 ,28.0,,New Property,0,0,0,0,0,1,15
flat,sector 3a,shri ram apartments,0.36,3789.0,950.12,Carpet area: 950 (88.26 sq.m.),950.0,,,2.0,2.0,1 ,4.0,,Relatively New,0,0,0,0,0,1,0
flat,sector 51,citizen apartment,3.55,6826.0,5200.7,Built Up area: 5200 (483.1 sq.m.)Carpet area: 4700 sq.ft. (436.64 sq.m.),4700.0,5200.0,,5.0,6.0,3+ ,11.0,North,Moderately old,1,1,1,0,1,2,157
flat,sector 92,sare crescent parc royal greens phase 1,0.95,5007.0,1897.34,Super Built up area 1897(176.24 sq.m.),,,1897.0,4.0,5.0,3+ ,4.0,,Moderately old,0,0,0,0,1,1,37
flat,sector 107,m3m woodshire,1.39,5887.0,2361.13,Super Built up area 2361(219.34 sq.m.)Carpet area: 1780 sq.ft. (165.37 sq.m.),1780.0,,2361.0,3.0,4.0,3+ ,6.0,East,Relatively New,0,0,1,0,1,2,174
ind. house,sector 48,vipul tatvam villa,22.0,26667.0,8250.0,Plot area 1000(836.13 sq.m.),,9000.0,,5.0,6.0,3 ,3.0,,Moderately old,0,0,0,0,1,1,54
flat,sector 4,shree shyam residency,0.22,4731.0,465.02,Super Built up area 585(54.35 sq.m.)Carpet area: 465 sq.ft. (43.2 sq.m.),465.0,,585.0,1.0,1.0,1 ,2.0,East,Relatively New,0,0,0,0,0,1,0
ind. house,sector 50,unitech aspen greens,6.95,4490.0,15479.0,Plot area 240(200.67 sq.m.)Built Up area: 2160 sq.yards (1806.04 sq.m.)Carpet area: 1720 sq.yards (1438.14 sq.m.),15480.0,2160.0,,3.0,3.0,1 ,2.0,North-East,Moderately old,0,0,0,0,1,1,160
ind. house,sector 26,,4.0,29630.0,1350.0,Plot area 150(125.42 sq.m.),,1350.0,,4.0,4.0,3 ,2.0,North,old Property,0,1,0,0,0,1,41
ind. house,sector 3a,,0.48,3519.0,1364.0,Built Up area: 1350 (125.42 sq.m.),,1350.0,,3.0,4.0,0,3.0,,undefined,0,0,0,0,0,1,0
flat,sector 37c,ild greens,1.0,4320.0,2314.81,Super Built up area 1875(174.19 sq.m.),,,1875.0,3.0,3.0,3+ ,5.0,North,Under construction,0,0,0,0,0,1,51
flat,sector 99a,laxmi apartment sector 99a gurgaon,0.3,4615.0,650.05,Super Built up area 650(60.39 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),550.0,,650.0,2.0,2.0,1 ,4.0,,New Property,0,0,0,0,0,1,44
ind. house,sector 105,"anand garden, sector-105",1.1,6790.0,1620.0,Plot area 180(150.5 sq.m.),,1620.0,,5.0,3.0,1 ,2.0,,old Property,1,0,1,0,0,1,0
flat,sector 86,dlf new town heights,1.55,6578.0,2356.34,Super Built up area 2356(218.88 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),1750.0,,2356.0,4.0,4.0,3+ ,12.0,North-East,Moderately old,0,0,1,0,1,2,120
flat,sector 33,godrej nature plus serenity,1.45,8677.0,1671.08,Super Built up area 1671(155.24 sq.m.),,,1671.0,3.0,2.0,3 ,3.0,South,Under construction,0,0,0,0,0,1,49
flat,sector 68,m3m the marina,2.22,14322.0,1550.06,Super Built up area 1550(144 sq.m.),,,1550.0,3.0,2.0,3 ,4.0,East,Relatively New,0,0,0,0,0,1,44
flat,sector 3,pooja apartment,0.25,3571.0,700.08,Carpet area: 700 (65.03 sq.m.),700.0,,,2.0,2.0,2 ,2.0,East,Relatively New,0,0,0,0,0,1,0
flat,sector 1,aditya apartment,1.0,4033.0,2479.54,Built Up area: 2480 (230.4 sq.m.),,2480.0,,3.0,4.0,0 ,3.0,,New Property,0,0,0,0,0,1,0
flat,sector 70a,aipl the peaceful homes,2.5,10638.0,2350.07,Super Built up area 2350(218.32 sq.m.),,,2350.0,3.0,4.0,3 ,8.0,South,Relatively New,0,1,0,0,1,2,174
flat,sector 54,dlf the crest,11.0,35222.0,3123.05,Super Built up area 3123(290.14 sq.m.),,,3123.0,4.0,6.0,3 ,7.0,,Relatively New,0,0,0,0,1,0,125
ind. house,sector 26,dlf city phase 1,9.25,47803.0,1935.0,Plot area 1935(179.77 sq.m.)Built Up area: 7000 sq.ft. (650.32 sq.m.),,1935.0,,12.0,12.0,3+ ,4.0,North-East,New Property,0,0,1,0,1,2,43
flat,sector 109,ats tourmaline,1.72,8000.0,2150.0,Super Built up area 2150(199.74 sq.m.)Built Up area: 1797 sq.ft. (166.95 sq.m.),,1797.0,2150.0,3.0,4.0,3+ ,7.0,South-West,Relatively New,0,0,0,0,1,1,167
flat,sector 77,umang winter hills,1.0,7500.0,1333.33,Carpet area: 1340 (124.49 sq.m.),1340.0,,,2.0,2.0,2 ,3.0,,New Property,0,0,0,0,0,1,74
flat,sector 92,bestech park view sanskruti,1.42,7760.0,1829.9,Super Built up area 1920(178.37 sq.m.),,,1920.0,3.0,3.0,2 ,10.0,East,Relatively New,0,0,0,0,0,1,117
flat,sector 111,puri diplomatic greens,2.65,11963.0,2215.16,Super Built up area 2215(205.78 sq.m.),,,2215.0,3.0,4.0,3+ ,19.0,South-East,Relatively New,1,1,1,0,1,1,65
flat,sector 85,ss the leaf,1.2,9677.0,1240.05,Super Built up area 1772(164.62 sq.m.)Carpet area: 1240 sq.ft. (115.2 sq.m.),1240.0,,1772.0,2.0,2.0,3+ ,9.0,East,Relatively New,0,1,0,0,0,1,148
ind. house,sector 12,,1.35,12222.0,1105.0,Plot area 150(125.42 sq.m.)Built Up area: 2052 sq.yards (1715.73 sq.m.),,1350.0,,5.0,5.0,1 ,3.0,,old Property,0,0,0,0,0,1,31
flat,sector 79,godrej,2.0,8453.0,2366.02,Carpet area: 2366 (219.81 sq.m.),2366.0,,,3.0,4.0,3+ ,2.0,North-East,Relatively New,0,0,0,0,1,2,156
flat,sector 95,sidhartha ncr one,0.55,5556.0,989.92,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),950.0,990.0,,2.0,2.0,3 ,15.0,North-East,undefined,0,0,0,0,0,1,0
flat,sector 107,m3m woodshire,0.82,6002.0,1366.21,Super Built up area 1366(126.91 sq.m.),,,1366.0,2.0,2.0,3+ ,7.0,North-East,Relatively New,0,0,0,0,0,1,111
flat,sector 67a,ireo the corridors,1.5,11111.0,1350.01,Carpet area: 1350 (125.42 sq.m.),1350.0,,,2.0,2.0,2 ,10.0,,Relatively New,0,1,0,0,0,2,38
flat,sector 79,bestech altura,1.72,8400.0,2047.62,Built Up area: 2050 (190.45 sq.m.),,2050.0,,3.0,4.0,3 ,9.0,East,New Property,0,0,0,0,0,1,49
ind. house,sector 50,,13.2,27155.0,4861.0,Built Up area: 4861 (451.6 sq.m.),,4861.0,,6.0,6.0,0,2.0,,undefined,0,0,0,0,0,1,0
ind. house,sector 3,,0.85,8500.0,1000.0,Built Up area: 1000 (92.9 sq.m.),,1000.0,,1.0,1.0,0,1.0,,undefined,0,0,0,0,0,1,0
flat,sector 35,hcbs sports ville,0.27,3600.0,750.0,Super Built up area 750(69.68 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),600.0,,750.0,2.0,2.0,2 ,2.0,North-East,New Property,0,0,0,0,0,1,68
flat,sector 69,tulip violet,1.4,8861.0,1579.96,Super Built up area 1578(146.6 sq.m.),,,1578.0,3.0,3.0,2 ,2.0,North-East,Relatively New,0,0,1,0,0,1,102
flat,sector 92,sare homes,1.18,5207.0,2266.18,Carpet area: 2266 (210.52 sq.m.),2266.0,,,4.0,4.0,3 ,8.0,North,Relatively New,0,0,0,0,1,1,108
flat,sector 67,m3m merlin,2.8,13671.0,2048.13,Super Built up area 2048(190.27 sq.m.),,,2048.0,3.0,3.0,3 ,2.0,East,Relatively New,0,1,0,0,0,0,174
ind. house,sector 24,,10.0,229885.0,435.0,Carpet area: 435 (40.41 sq.m.),435.0,,,8.0,10.0,3+ ,1.0,West,undefined,0,0,0,0,0,1,0
flat,sector 102,adani m2k oyster grande,1.9,9105.0,2086.77,Super Built up area 1889(175.49 sq.m.),,,1889.0,3.0,4.0,3 ,8.0,North-East,Relatively New,0,0,0,0,1,1,165
ind. house,sector 15,,4.1,22331.0,1836.0,Plot area 204(170.57 sq.m.)Built Up area: 200 sq.yards (167.23 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),1350.0,1836.0,,3.0,3.0,2 ,1.0,North-East,old Property,1,0,1,1,0,2,27
ind. house,sector 40,independent house sector 45,9.0,38022.0,2367.0,Plot area 2367(219.9 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.)Carpet area: 6000 sq.ft. (557.42 sq.m.),6000.0,2367.0,,12.0,12.0,3 ,4.0,North-West,New Property,0,0,0,0,1,2,71
flat,sector 92,raheja navodaya,0.85,4271.0,1990.17,Super Built up area 1990(184.88 sq.m.),,,1990.0,3.0,3.0,3 ,2.0,North-West,Relatively New,0,0,0,0,0,1,100
flat,sector 92,bestech park view sanskruti,1.5,7812.0,1920.12,Super Built up area 1920(178.37 sq.m.),,,1920.0,3.0,3.0,3 ,3.0,East,Relatively New,0,0,0,1,0,1,49
flat,sector 61,smart world orchard,1.6,13913.0,1150.0,Carpet area: 1150 (106.84 sq.m.),1150.0,,,2.0,2.0,2 ,4.0,North-East,New Property,1,0,0,1,0,1,29
flat,sector 70,krrish florence estate,1.65,7764.0,2125.19,Super Built up area 2125(197.42 sq.m.),,,2125.0,3.0,4.0,3+ ,27.0,North-East,New Property,1,0,0,0,1,1,81
flat,sector 68,m3m the marina,1.32,8759.0,1507.02,Super Built up area 1507(140 sq.m.),,,1507.0,2.0,2.0,3 ,15.0,North-East,Relatively New,1,0,0,0,0,1,120
flat,sector 102,shapoorji pallonji joyville gurugram,1.4,11666.0,1200.07,Super Built up area 1368(127.09 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),1200.0,,1368.0,2.0,2.0,3 ,1.0,North,Relatively New,0,0,0,0,0,1,80
flat,sector 24,ambience caitriona,14.0,200000.0,700.0,Built Up area: 700 (65.03 sq.m.),,700.0,,4.0,5.0,3 ,3.0,East,undefined,0,0,0,0,0,1,0
ind. house,sector 12,,1.7,8000.0,2125.0,Built Up area: 2000 (185.81 sq.m.),,2000.0,,5.0,5.0,3 ,3.0,,Moderately old,0,0,1,1,0,1,9
flat,sector 89,greenopolis,0.8,4820.0,1659.75,Super Built up area 1660(154.22 sq.m.),,,1660.0,2.0,3.0,3 ,8.0,,Under construction,1,0,0,1,0,1,60
flat,sector 108,experion the heartsong,0.98,13343.0,734.47,Super Built up area 1283(119.19 sq.m.)Built Up area: 978.23 sq.ft. (90.88 sq.m.)Carpet area: 734.43 sq.ft. (68.23 sq.m.),734.0,978.0,1283.0,2.0,3.0,3 ,4.0,East,Relatively New,1,0,0,0,0,1,135
flat,sector 51,housing board colony,0.3,41666.0,72.0,Carpet area: 72 (6.69 sq.m.),72.0,,,1.0,1.0,0 ,1.0,,Moderately old,1,0,0,0,0,1,15
flat,sector 56,the lions cghs,1.99,11055.0,1800.09,Super Built up area 2400(222.97 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),1800.0,2000.0,2400.0,4.0,4.0,3+ ,4.0,East,old Property,0,0,1,1,0,2,105
flat,sector 84,antriksh heights,0.88,4821.0,1825.35,Super Built up area 1825(169.55 sq.m.),,,1825.0,3.0,3.0,3 ,16.0,,Relatively New,0,0,1,0,0,1,67
flat,sector 82a,dlf the primus,2.95,11451.0,2576.19,Super Built up area 2576(239.32 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),1700.0,,2576.0,4.0,5.0,3+ ,10.0,North-East,Relatively New,0,0,0,0,1,0,174
ind. house,sector 3,bhim garh kheri,1.5,7576.0,1980.0,Plot area 220(183.95 sq.m.),,1980.0,,7.0,2.0,0,1.0,,undefined,0,0,0,0,0,1,0
flat,sector 54,suncity heights,3.25,14118.0,2302.03,Carpet area: 2302 (213.86 sq.m.),2302.0,,,3.0,3.0,3+ ,1.0,East,old Property,0,0,1,0,0,2,120
ind. house,sector 3a,,0.65,11111.0,585.0,Plot area 65(54.35 sq.m.),,585.0,,4.0,2.0,2 ,,,Moderately old,0,0,0,0,0,1,0
flat,sector 90,shree vardhman flora,1.0,5128.0,1950.08,Super Built up area 1950(181.16 sq.m.),,,1950.0,3.0,4.0,3 ,8.0,North-East,New Property,0,0,0,0,1,1,95
flat,sector 33,godrej nature plus,1.3,8349.0,1557.07,Super Built up area 1557(144.65 sq.m.),,,1557.0,3.0,2.0,3+ ,18.0,North,New Property,0,0,0,0,0,1,38
flat,sector 58,ireo the grand arch,4.85,16934.0,2864.06,Carpet area: 2864 (266.07 sq.m.),2864.0,,,4.0,5.0,3 ,23.0,North-West,Relatively New,1,0,1,1,1,2,49
flat,sector 71,chd avenue,1.25,6597.0,1894.8,Super Built up area 1743(161.93 sq.m.),,,1743.0,3.0,4.0,2 ,14.0,North-East,Relatively New,1,0,1,1,1,0,128
flat,sector 74,m3m skywalk,1.5,10714.0,1400.04,Carpet area: 1400 (130.06 sq.m.),1400.0,,,2.0,2.0,1 ,8.0,,New Property,0,0,0,0,0,1,16
flat,sector 113,la vida by tata housing,1.35,13989.0,965.04,Super Built up area 1276(118.54 sq.m.)Built Up area: 1090 sq.ft. (101.26 sq.m.)Carpet area: 965 sq.ft. (89.65 sq.m.),965.0,1090.0,1276.0,2.0,2.0,3 ,10.0,North-East,New Property,0,0,0,0,0,1,174
flat,sector 102,emaar gurgaon greens,1.4,8484.0,1650.17,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),1023.0,,1650.0,3.0,3.0,3 ,3.0,East,Relatively New,0,0,0,0,1,1,60
